X,Y,Z
"Cyprus at the Olympic Games: interesting facts","The world is watching the Olympic Games in Paris. Cyprus is represented in eight sports the national team consists of 15 athletes. How has the island participated in the Olympics in the past?– The history of Cyprus’ participation in the Olympic Games goes back more than 2000 years. Athletes from the island competed in games in honor of the god Zeus at Olympia back in ancient times. Sources mention Iraklid Onesicritus Artemidorus and Apollodorus from Salamis Nikon and Neon from Karpasia Zoilus from Paphos. But the most famous Cypriot Olympic champion was Demetrius who won the pentathlon in 229 and 233 AD and the stadium in 229 233 and 237 AD.– In 1896 that is in the first Olympic Games after their revival on the initiative of Pierre de Coubertin three Cypriot athletes competed for the Greek team. Limassol shooter Ioannis Frangoudis won three medals (gold silver and bronze) and Lefkoniko-born cyclist Aristides Konstantinidis won one gold. These Olympic medals remained the only ones won by Cypriot athletes until 2012.– However chronologically the very first Cypriot to take part in the Olympics was 19-year-old Anastasios Andreou from Limassol. On April 7 1896 he ran the 110-meter steeplechase.– In 1906 the IOC held the Extraordinary Olympic Games in Athens. The original idea was that regular and extraordinary Olympics would alternate at intervals every two years which would make international sports life richer. In them Cypriot Ioannis Pieridis won silver.Paris 2024. Photo: Sergey KlimovHowever the Extraordinary Olympic Games of 1906 were the only one of their kind. Due to the political crisis in the Balkans the next extraordinary Olympics was canceled (it was also planned in Athens) and in 1918 the IOC abandoned the very idea. The 1906 games are not considered official and do not have a number. The medals won there are not considered Olympic medals.– Cypriots continued to compete for Greece until 1976 and in athletics until 1980. Among the most prominent were Renos Frangoulis the only Cypriot at the 1932 Olympics Domnitsa Lanitou the first woman in the Greek team (participated in the 1936 Olympics) marathon runner Stelios Kyriakidis (1936 and 1948 Olympics).– For the first time the national team of the Republic of Cyprus took part in the Olympics in Moscow in 1980.– In 2008 in Beijing Cyprus showed good results when two athletes Antonis Nikolaidis and Giorgos Achilleos took 4th and 5th place in clay pigeon shooting.– Cyprus’ only medal to date is the silver of yachtsman Pavlos Kontidis at the 2012 Olympics in London.– At the 2024 Olympic Games Turkish-Cypriot athlete Buse Savashkan competes in the high jump for the Turkish team. She was born in 1999 in the occupied part of Nicosia. She studies coaching at the University of Health and Social Sciences in Morphou. Since 2017 he has been living in Turkey.The text was prepared based on materials from Sigma On topicNicosia hosts the exhibition “Road to Paris” which is dedicated to this year’s Olympics. It consists of two parts: “Olympic Ladies” and “History of the Olympics from Antiquity.” The first section will talk about the struggle of women for the opportunity to participate in the Olympics on an equal basis with men. The second part is devoted to the history of the first Games in ancient Greece. It also presents the history of the creation of the Cyprus Olympic Committee.About this and other cultural events follow the link.Read 7",4
"Cyprus police and sports organizations are preparing for the new football season!","There are two weeks left until the start of the football season. The Ministry of Justice and the police say they intend to ensure maximum safety for fans by strictly enforcing the law.The President of the KOP Football Federation Georgios Koumas confirmed that there is no confrontation with the government over the issue of fan movement and emphasized the importance of cooperation with the Ministry of Justice.“Our decision should in no way be interpreted as some kind of confrontation with the authorities. On the contrary we are in constant contact with the Ministry of Justice and fully understand their concerns and concerns” said Koumas.“The police will be present in the new football season at sports venues and act as part of their duties to maintain law and order” said Christos Andreou a spokesman for the Police Headquarters.Of the 10 first division stadiums 9 are licensed but serious deficiencies remain. From September changes to fan IDs will come into force which will require cards to be reissued and by Christmas new facial recognition software will start working.“The program recognizes 80 points on the viewer’s face and sends the photo to the central file of the Cyprus Sports Organization (COA). Three minutes later the person’s identity becomes known to the security forces. Even if the fan is covered with a hood the system will be able to recognize him by his eyes” said Giorgos Karas President of the Stadium Licensing Authority.Responsibility for operating the new software will rest with stadium security managers. The licensing authority is required to provide stadium owners with a plan showing the location of the cameras.Source: omegalive.com.cy",4
"The ancient city of Arsinoe: a monument to intrigue","Today in Cyprus there are no settlements called Arsinoe. But in ancient times there were three such cities. Why were they all called that? The story is based on intrigue and incest.Arsinoe was called: a city on the site of modern Polis Chrysochous a city between Palepaphos and Kato Paphos (approximately in the area of ​​​​the current village of Geroskipou) as well as the ancient city of Salamis (north of modern Famagusta).The name was so popular because it was the name of the wife of the king of Egypt Ptolemy II Philadelphus. Or rather his two wives.Ptolemy was married to his distant maternal relative Arsinoe (305-248 BC). Her father was Lysimachus king of Thrace and Macedonia. Arsinoe was officially declared queen of Egypt. Ptolemy had three children with her. However the Cypriot cities are not named after her.Queen Arsinoe's father Lysimachus was married twice. The second wife 45 years younger than him was the elder sister of King Ptolemy who was also named Arsinoe (316-270 BC).Thus one Arsinoe was both the stepmother and sister-in-law of the other Arsinoe the queen of Egypt.In 279 BC. e. Ptolemy's sister Arsinoe arrived in Egypt. Soon after this the king was informed of a conspiracy that his wife Arsinoe allegedly made against him. The king believed this information and exiled his wife to the city of Koptos. Soon after this Ptolemy married his full sister Arsinoe who became Queen Arsinoe II. Cities in Cyprus which was then part of the Kingdom of Egypt were named in her honor.The text was prepared based on Wikipedia materials.Read alsoThe city of Arsinoe modern Polis Chrysochous has a long and glorious history which you can read about here.Read 436",4
"The mosque in Alaminos will be restored","Conservation work on the mosque in the village of Alaminos in the Larnaca region will begin in the near future. This was announced by Ali Tuncay co-chairman of the Intercommunity Working Committee on Cultural Heritage.The work will be carried out by the same contractor who worked on the mosque in Kalavasos.Work will start immediately after the mosque in Kalavasos is renovated. These will include whitewashing the building inside and out filling and sealing cracks in vaults and walls and repairing wooden doors and window frames. The project is funded by the European Union with the support of the United Nations Development Program.Meanwhile frescoes were discovered in a mosque in the village of Kritou Thera in the Paphos region. Artistic motifs were found under the plaster on the walls but there was no record of the walls being painted.This once again shows how much unknown cultural wealth remains in Cyprus.“Our work symbolizes our determination to pass on historical and cultural values ​​to future generations” said Ali Tuncay.On July 26 the Intercommunity Working Committee for Cultural Heritage announced the start of conservation work on the Church of St. Paraskeva in Famagusta.The text was prepared based on materials from Cyprus Mail Other projectsTwo Byzantine churches in the Kerynia region and a mosque in Avdimou will be restored as part of the UN Development Program. Read more at the link.Read 0",4
"Thyme in Cyprus is not only a seasoning","Thyme is a common seasoning in meat dishes. In Cyprus two species of this plant have long been collected which are found here in large quantities. These are whole leaf thyme and capitate thyme.Thyme allifolia or livanitis is a low and aromatic shrub. It grows on rocky and arid soils mainly in the Troodos mountain range at an altitude of about 1700 meters. Most often found on the slopes of the hills of Stavrovouni Kornos Kakoradzhi Macheras and Akamas. It blooms from March to June producing many small long and graceful flowers that are pink and white at the base.Livanitis has healing properties. Its oil was used in ancient times as an antipyretic for dysentery diarrhea etc. It is also a popular honey plant.In Cyprus capitate thyme is called trumbin. One of the characteristic plants of the Cypriot countryside which grows independently in barren lands. It is a shrub reaching a height of approximately 45 centimeters aromatic and medicinal. The branches are hard and covered with thorns. The leaves are tiny. It blooms from May to September its flowers are a beautiful pink color small in size but abundant in number.Non-culinary useA special oil is obtained from thyme by distillation which is used in pharmaceuticals in the production of soap and perfumes. In former times Cypriots used thyme for various household chores. For example small bushes were used to kindle fireplaces. Due to its aroma thyme smoke was often used to smoke meat especially lucanika sausages. The sausages were hung up and thyme bushes were burned under them.The plant was widely used in silkworm breeding. On their hard branches it was convenient for silkworms to form a cocoon.In Cypriot society there was even a specialty - a thyme seller (“trumbopoulis”). The plant was sold in armfuls which were carried on donkeys.The text was prepared based on materials from “Polygnosi” Read alsoIf you don’t know which plants to choose for planting in summer and autumn our material will help you.Read 732",4
"Antiphonitis - the only octagonal temple","The Church of Christ Antiphonitis in Kalogrea is one of the most important Byzantine churches on the island which ended up in the occupied territories after the events of 1974. It represents the main temple of the monastery which was abolished several centuries ago.Judging by the surviving temple the monastery was founded at the end of the 12th century. Nothing remains of the original buildings except the ruins of buildings to the east and northeast of the temple.The name of the temple – Antiphonitis – means “responsible”. This epithet is usually applied to Christ so the full name of the church is: Church of Christ Antiphonitis (or the Responding One). But you can often come across the opinion that the monastery was consecrated in honor of the Archangel Michael. Therefore there is an alternative version of the name - the Church of Archangel Antiphonitis.Like many other churches of the Middle Byzantine period this temple was built without a narthex (narthex). It was added in the XIV-XV centuries on the western side and combined with the main temple. Its construction was financed by the Lusignan royal family. At the end of the 15th – beginning of the 16th centuries a colonnade was built on the southern side of the temple.The plan of the church is an octagon. There are only four temples in Cyprus with an octagonal base but only Antiphonitis is well preserved. The eight columns on which the dome rests are located at different distances from each other so the plan of the temple is geometrically uneven. As a result the dome also has an uneven shape.The inside of the temple is painted with frescoes that date from the beginning of the 13th to the end of the 15th century. The original frescoes are preserved in the apse the altar on the eastern supports of the dome in the drums above the north-eastern and south-eastern arches on the southern wall.During Turkish rule the monastery changed owners several times. The Metropolis of Kerynia sold it to a private individual in 1828 a resident named Mariun Christodoulou Apeghitu. A certain monk bought the monastery from her who in 1906 sold it to the Kykkos monastery. Only in 1932 the monastery again returned to the ownership of the Kerynia Metropolis. Since 1974 it has been in occupied territory.On the mapThe text was prepared based on materials from “Polygnosi” Read alsoThe church's frescoes and icons were among the artefacts rescued by ""icon hunter"" Tasoula Hadjittofi. Read more about her here.Read 222",4
"VK recipes: Ofton-kleftiko","The Cypriot word ""ofton"" means baked meat. The second word in the name – “kleftiko” – comes from the word “kleftis” that is “thief”. Why did this name appear and how to prepare such a dish?In Greece during the Turkish rule the word “kleftes” was used to describe poor residents who did not have the means to pay taxes. Therefore they went to the mountains where they hid from the Turkish commanders. Obviously with such a lifestyle they did not always earn their living by honest labor. Quite the contrary they often engaged in robbery and theft (including livestock) formed gangs and terrorized local residents.Gradually this way of life was greatly romanticized and the ""kleftes"" from simple robbers hiding from the authorities turned into people's fighters against the Turkish conquerors and into noble partisans.The recipe for a traditional Cypriot dish is associated with these people. Here's how to make it at home.You will need:– 2 kg of lamb chopped into large pieces – 1.5 kg of potatoes – salt pepper oregano bay leaf cinnamon stick – water – cognac (optional)Preparation:– Peel the potatoes wash and cut each one in the middle or into four parts. – Mix salt pepper oregano in a bowl. – Wash the meat rub each piece with a mixture of salt pepper and oregano. Place the meat in a deep heat-resistant bowl. – Rub the potatoes with the remaining spice mixture. Place the potato pieces next to the meat. Add bay leaf cinnamon and pour a glass of water. – Cover the dish with foil and bake for three hours at 200 degrees. After two hours of baking you may need to add more water. – Take out the cooked meat and serve with potatoes. – You can make purguri with the remaining broth from the meat. – Some housewives sprinkled the meat with cognac before baking to remove the unpleasant smell.The text was prepared based on materials from “Chryses Syndages” Other recipesGreek-Cypriot cuisine has a special passion for goat meat. It is believed that a kid is less fatty than a lamb since goats in principle lead a more active lifestyle. The popular Cypriot dish kleftiko can be prepared with this type of meat instead of or together with lamb. Recipe at the link.Read 736",4
"The 2021 census shows that the population of Cyprus is aging","Official data collected during the 2021 census shows that the population of Cyprus is aging.Exactly 17.2% of people living in the Republic of Cyprus just over one in six are currently aged 65 or over while 15.4% of people living here are under 15 years of age.The 2021 census will be the first in the history of Cyprus to record that there are more people over 65 living in the country than children: the 2011 census recorded 16.1% of the population under the age of 15 and 13.3% aged 65 and older.At the same time the total population of the Republic of Cyprus has increased by almost 10 percent and is now home to 923381 people up from 840407. This means that the country's annual population growth is just under one percent which although double the European Union average is the lowest rate recorded in Cyprus since the 1982 census.The total population includes 474673 women and 449708 men. Two thirds of the population of Cyprus live in urban areas and the rest in rural areas.If the district is broken down into districts the district of Nicosia has the largest population with 350035 people living there or 37.9% of the population of Cyprus. Limassol district has the second largest population with 262157 people or 28.4% of the country's population.In third place is Larnaca District with a population of 155765 people or 16.9% of the population of Cyprus while Paphos District has 101106 people or 10.9% of the country's population and Famagusta District has 54318 people or 5.9% of the population of Cyprus.In terms of nationality 77.9% of people living in the Republic of Cyprus are citizens of the country while a further 10.1% are citizens of other EU member states.By country 4.7% of people living in the Republic of Cyprus are Greek citizens 2.2% are Romanian citizens 2% are British citizens 1.8% are Bulgarian citizens 1.4% are Syrian citizens and 1 .4% are citizens of Russia.The Paphos district has the largest proportion of non-Cypriot residents with 40 percent of the district's residents being non-Cypriot citizens. The Famagusta district is in second place - 23.6 percent of residents are not Cypriot citizens.In contrast Nicosia District has the lowest proportion of residents who are not Cypriot citizens: only 17.3% of residents are not citizens of the Republic of Cyprus.In terms of educational attainment the population of Cyprus is now significantly more educated than at the time of the 2011 census.Currently 27.6% of the population (more than a quarter) have higher education while in 2011 this figure was only 20.2%. Exactly 19.8% of Cypriots have completed higher education at the bachelor's level 7.1% have a master's degree and 0.7% have a PhD.Additionally for the first time more women than men in Cyprus entered university with 28.1% of women and 27.1% of men enrolled. In 2011 a slightly higher proportion of men - 20.3% - than women - 20.2% - went to university.Of those who did not attend university 36.6% of Cypriots completed their education with a high school diploma 9.7% completed their education with a high school diploma 11.6% completed their education with a high school diploma. primary school and two percent did not complete primary school.Source: cyprus-mail.com",4
"The first section of the Nicosia bypass opened","At noon on August 8 the first section of the Nicosia ring road was put into operation. It will ensure free movement of transport between the western regions and suburbs of the capital and the regions of Larnaca and Limassol.Director of the Department of Public Works Eleftherios Eleftheriou said the project includes a 7.5 km road connecting the Nicosia-Limassol motorway with Ttseri Avenue. It has a bridge connecting the old Nicosia-Limassol road (B1) with the Nicosia-Limassol motorway (A1) an overpass near the Tseriu industrial area and a roundabout at the intersection of Tseriou and Pefkou avenues.According to Eleftheriou the tender for the implementation of the second phase of the bypass road has already been announced it will run from Antoupoli to the Lakatamia-Deftera road.The tender will end on September 20 and the contract is expected to be concluded by the end of the year. In the first quarter of 2025 a tender will be issued for the construction of the third phase which will include the section from the Antoupoli interchange to the Ergates roundabout.The designated median constructed as part of the project will be replanted with greenery in September or October when weather conditions permit.TThe text was prepared based on materials from Cyprus Mail and Off Site News.Read also:You can find out what changes await the infrastructure of Larnaca here.Read 494",4
"How to take care of animals in the heat","The veterinary service is reminding pet owners how to care for their four-legged friends in extreme heat. Livestock owners can apply the same recommendations.The agency urges owners to provide their animals with sufficient shade throughout the day. If there is no natural shade in the room where animals are kept it is necessary to create it artificially. This is especially important to do during hours when temperatures reach their highest levels.In the room where animals live it is necessary to ensure good air circulation using fans or even air conditioners if possible to maintain coolness.Animals must be given fresh and cool water regularly. It is necessary to constantly check the drinking bowl change the water often and monitor its temperature. To keep the water cool longer you can add ice to it.The Veterinary Service also recommends the use of cold compresses for animals. They can be made from improvised means by simply moistening a towel in cool (not cold) water and placing it on the animal.Walking pets and in general all physical activity is best limited to morning and evening hours. It is not recommended to let them outside during the day. If it is impossible to keep the animal at home during the hottest hours then it is better to give preference to frequent and short walks avoiding intense games and running.When going for a walk with your animal think about where exactly you will be walking it. It is better to choose routes that provide sufficient shade. Land without vegetation gets very hot in the sun and can burn your paws. When going for a walk you should take a bottle of water and a bowl for it to give your pet something to drink.Never leave animals in a switched off vehicle. If you need to transport them be sure to turn on the air conditioning in the cabin.It is recommended to regularly check animals for signs of heat stroke. Symptoms include: excessive shortness of breath difficulty breathing rapid heartbeat increased salivation vomiting diarrhea weakness loss of consciousness or contact with the environment. If these symptoms occur animals should be moved to a shady cool place sprinkled with cool (not cold) water allowed to drink a small amount of water and then immediately contact a veterinarian.Some categories of animals are most vulnerable to heat and require special care. These are long-haired animals and animals with thick fur dogs of brachycephalic breeds rabbits guinea pigs hamsters and other small mammals birds such as parrots and canaries horses animals at a young or conversely old age with excess weight or disease .The Veterinary Service also reminds that the law prohibits keeping or temporarily locking cats and dogs on balconies terraces or loggias as well as keeping them on a leash at all times.The text was prepared based on materials from Politis. More recommendationsGo to our article with tips. 
 Read 464",4
"91.5% of junior schoolchildren speak Greek poorly","We are talking about students for whom Greek is not their native language. These results were reached by experts from the Center for Educational Research and Evaluation at the Pedagogical Institute which operates under the auspices of the Ministry of Education.The key objective of the study was to test the level of Greek language proficiency among non-native speakers of Greek. As a rule these are students with a migration background.In the 2023-2024 school year the vast majority of students 91.5% had proficiency levels below the required intermediate level. They were sent to courses to study Greek.Only 8.5% of students for whom Greek is not their native language had the required minimum level of proficiency. The study surveyed a total of 3525 students from government primary schools.The researchers also examined the performance of the Greek course based on the responses of 2070 students who took extra classes. 46% had mastered the required intermediate level 18% were at the entry level and 35% had acquired basic skills.“Based on the results 91.5% of children will be required to attend classes to study Greek as a foreign language during the 2024-2025 school year. Therefore the necessary measures are being taken to staff schools with appropriate teaching staff” the Ministry of Education said in a statement.The study also took educational and sociodemographic variables into account to determine how they contribute to successful Greek acquisition. Three indicators had a positive effect on success in language acquisition:– being born in Cyprus; – having at least one parent/guardian in the family who speaks Greek; – attending primary school from at least fourth grade.The text was prepared based on materials from Cyprus Mail. Read alsoAccording to the Nicosia School Commission 49.5% of public school students are children with a migration background. What is the reality behind these numbers and how are teachers coping with the situation? Read the link. Read 834",4
